price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
9205000.0,7420,4,2,3,1,0,0,0,1,2,1,2
9205000.0,8960,4,4,4,1,0,0,0,1,3,0,2
9205000.0,9960,3,2,2,1,0,1,0,0,2,1,1
9205000.0,7500,4,2,2,1,0,1,0,1,3,1,2
9205000.0,7420,4,1,2,1,1,1,0,1,2,0,2
9205000.0,7500,3,3,1,1,0,1,0,1,2,1,1
9205000.0,8580,4,3,4,1,0,0,0,1,2,1,1
9205000.0,16200,5,3,2,1,0,0,0,0,0,0,0
9205000.0,8100,4,1,2,1,1,1,0,1,2,1,2
9205000.0,5750,3,2,4,1,1,0,0,1,1,1,0
9205000.0,13200,3,1,2,1,0,1,0,1,2,1,2
9205000.0,6000,4,3,2,1,1,1,1,0,2,0,1
9205000.0,6550,4,2,2,1,0,0,0,1,1,1,1
9205000.0,3500,4,2,2,1,0,0,1,0,2,0,2
9205000.0,7800,3,2,2,1,0,0,0,0,0,1,1
9100000.0,6000,4,1,2,1,0,1,0,0,2,0,1
9100000.0,6600,4,2,2,1,1,1,0,1,1,1,0
8960000.0,8500,3,2,4,1,0,0,0,1,2,0,2
8890000.0,4600,3,2,2,1,1,0,0,1,2,0,2
8855000.0,6420,3,2,2,1,0,0,0,1,1,1,1
8750000.0,4320,3,1,2,1,0,1,1,0,2,0,1
8680000.0,7155,3,2,1,1,1,1,0,1,2,0,0
8645000.0,8050,3,1,1,1,1,1,0,1,1,0,2
8645000.0,4560,3,2,2,1,1,1,0,1,1,0,2
8575000.0,8800,3,2,2,1,0,0,0,1,2,0,2
8540000.0,6540,4,2,2,1,1,1,0,1,2,1,2
8463000.0,6000,3,2,4,1,1,1,0,1,0,1,1
8400000.0,8875,3,1,1,1,0,0,0,0,1,0,1
8400000.0,7950,5,2,2,1,0,1,1,0,2,0,0
8400000.0,5500,4,2,2,1,0,1,0,1,1,1,1
8400000.0,7475,3,2,4,1,0,0,0,1,2,0,0
8400000.0,7000,3,1,4,1,0,0,0,1,2,0,1
8295000.0,4880,4,2,2,1,0,0,0,1,1,1,2
8190000.0,5960,3,3,2,1,1,1,0,0,1,0,0
8120000.0,6840,5,1,2,1,1,1,0,1,1,0,2
8080940.0,7000,3,2,4,1,0,0,0,1,2,0,2
8043000.0,7482,3,2,3,1,0,0,1,0,1,1,2
7980000.0,9000,4,2,4,1,0,0,0,1,2,0,2
7962500.0,6000,3,1,4,1,1,0,0,1,2,0,0
7910000.0,6000,4,2,4,1,0,0,0,1,1,0,1
7875000.0,6550,3,1,2,1,0,1,0,1,0,1,2
7840000.0,6360,3,2,4,1,0,0,0,1,0,1,2
7700000.0,6480,3,2,4,1,0,0,0,1,2,0,0
7700000.0,6000,4,2,4,1,0,0,0,0,2,0,1
7560000.0,6000,4,2,4,1,0,0,0,1,1,0,2
7560000.0,6000,3,2,3,1,0,0,0,1,0,0,1
7525000.0,6000,3,2,4,1,0,0,0,1,1,0,2
7490000.0,6600,3,1,4,1,0,0,0,1,3,1,2
7455000.0,4300,3,2,2,1,0,1,0,0,1,0,0
7420000.0,7440,3,2,1,1,1,1,0,1,0,1,1
7420000.0,7440,3,2,4,1,0,0,0,0,1,1,0
7420000.0,6325,3,1,4,1,0,0,0,1,1,0,0
7350000.0,6000,4,2,4,1,1,0,0,1,1,0,2
7350000.0,5150,3,2,4,1,0,0,0,1,2,0,1
7350000.0,6000,3,2,2,1,1,0,0,1,1,0,1
7350000.0,6000,3,1,2,1,0,0,0,1,1,0,0
7343000.0,11440,4,1,2,1,0,1,0,0,1,1,1
7245000.0,9000,4,2,4,1,1,0,0,1,1,1,2
7210000.0,7680,4,2,4,1,1,0,0,1,1,0,1
7210000.0,6000,3,2,4,1,1,0,0,1,1,0,2
7140000.0,6000,3,2,2,1,1,0,0,0,1,0,1
7070000.0,8880,2,1,1,1,0,0,0,1,1,0,1
7070000.0,6240,4,2,2,1,0,0,0,1,1,0,2
7035000.0,6360,4,2,3,1,0,0,0,1,2,1,2
7000000.0,11175,3,1,1,1,0,1,0,1,1,1,2
6930000.0,8880,3,2,2,1,0,1,0,1,1,0,2
6930000.0,13200,2,1,1,1,0,1,1,0,1,0,2
